State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Abia,Aba,2015-08-01,36.88,49.46,10.16,14.19,10.03,8.89,0.81,14.95,35.35,0.49,5.36,0.81,104,Unhealthy for Sensitive Groups,4.9,85.3,0.415,3.39,10.6,408.9
Abia,Aba,2015-09-01,57.43,50.55,27.07,33.01,30.55,7.18,1.56,9.08,43.48,2.12,3.16,1.62,152,Unhealthy,6.8,75.3,0.331,1.43,10.15,410.1
Abia,Aba,2015-10-01,57.16,121.09,15.62,42.19,54.08,17.35,2.27,17.51,41.85,3.29,8.65,1.4,152,Unhealthy,9.3,77.2,0.428,2.19,10.35,410.0
Abia,Aba,2015-11-01,53.54,243.39,50.23,79.03,73.03,18.19,4.11,22.03,93.11,5.61,13.71,3.38,145,Unhealthy for Sensitive Groups,8.1,49.5,0.41,3.61,10.64,411.3
Abia,Aba,2015-12-01,119.52,268.38,64.01,67.0,60.38,33.1,4.85,55.1,82.41,4.71,5.22,2.51,184,Unhealthy,10.1,47.4,0.417,2.84,10.13,407.6
Abia,Aba,2016-01-01,85.02,328.07,52.86,48.1,114.5,30.36,5.46,22.52,89.58,5.36,7.03,1.12,166,Unhealthy,14.1,36.9,0.292,3.54,10.78,418.0
Abia,Aba,2016-02-01,129.86,462.41,20.25,51.73,64.62,36.84,5.3,49.1,78.18,3.59,15.46,5.58,189,Unhealthy,3.2,42.8,0.328,1.26,10.61,419.3
Abia,Aba,2016-03-01,52.79,163.71,27.3,32.33,92.8,29.42,2.83,16.18,59.35,5.07,7.22,1.08,144,Unhealthy for Sensitive Groups,10.8,40.8,0.329,1.87,10.53,420.2
Abia,Aba,2016-04-01,42.23,158.91,18.36,22.05,50.76,18.96,1.66,22.71,48.29,2.3,3.58,3.47,118,Unhealthy for Sensitive Groups,8.7,65.2,0.413,1.54,10.67,426.7
Abia,Aba,2016-05-01,26.76,83.4,29.79,27.86,17.4,15.15,0.72,14.43,32.46,3.39,3.04,1.4,82,Moderate,3.2,67.9,0.484,2.29,10.82,419.9
Abia,Aba,2016-06-01,60.79,117.37,11.28,16.68,29.55,16.42,1.96,17.43,45.01,0.62,2.17,0.55,154,Unhealthy,2.4,80.2,0.404,2.26,10.44,420.2
Abia,Aba,2016-07-01,50.73,88.47,23.22,15.24,30.33,11.76,1.08,8.98,38.96,3.19,4.47,1.16,138,Unhealthy for Sensitive Groups,2.1,84.6,0.396,1.57,10.38,421.3
Abia,Aba,2016-08-01,44.54,64.8,22.53,28.19,23.84,9.42,1.84,8.63,31.15,2.79,3.83,1.28,123,Unhealthy for Sensitive Groups,5.1,83.8,0.483,2.08,10.38,422.6
Abia,Aba,2016-09-01,13.23,122.4,28.21,41.36,55.41,5.6,1.68,17.89,47.42,2.14,2.29,1.21,53,Moderate,8.4,81.6,0.358,3.83,10.49,419.0
Abia,Aba,2016-10-01,73.89,90.48,22.42,50.8,42.69,9.06,3.0,25.94,35.82,1.46,4.69,1.98,160,Unhealthy,8.0,72.2,0.358,3.73,10.59,420.2
Abia,Aba,2016-11-01,73.09,303.78,35.9,74.87,36.51,35.95,3.72,21.2,95.09,3.05,18.1,4.54,160,Unhealthy,7.5,57.0,0.35,3.08,10.61,417.9
Abia,Aba,2016-12-01,68.99,173.46,23.25,108.09,74.17,38.0,5.39,54.99,84.81,6.85,16.63,6.04,158,Unhealthy,12.9,29.6,0.351,2.24,10.47,421.8
Abia,Aba,2017-01-01,120.08,315.63,34.0,85.39,135.0,19.14,3.71,17.29,136.34,7.77,6.16,4.5,184,Unhealthy,14.3,25.9,0.29,2.49,10.93,429.6
Abia,Aba,2017-02-01,59.76,254.84,34.04,59.7,98.99,30.71,5.28,52.99,69.91,7.65,11.46,2.38,153,Unhealthy,7.5,47.9,0.43,1.87,11.03,431.8
Abia,Aba,2017-03-01,94.74,246.01,26.1,69.71,38.1,16.3,2.82,42.64,74.77,4.4,7.65,1.36,171,Unhealthy,9.6,52.6,0.431,2.92,11.19,430.7
Abia,Aba,2017-04-01,47.67,135.22,27.15,20.88,62.63,18.02,2.41,14.54,55.92,2.4,4.37,1.74,131,Unhealthy for Sensitive Groups,6.6,73.9,0.433,3.49,10.5,430.7
Abia,Aba,2017-05-01,49.73,145.11,27.53,22.92,33.95,15.62,1.44,14.29,45.04,3.82,5.46,2.87,136,Unhealthy for Sensitive Groups,7.9,68.8,0.483,1.21,11.09,430.7
Abia,Aba,2017-06-01,35.07,60.62,9.3,25.09,27.81,11.03,2.1,22.56,43.43,1.69,4.63,1.9,99,Moderate,7.1,79.3,0.417,2.54,10.92,434.7
Abia,Aba,2017-07-01,45.85,49.69,11.2,21.04,34.41,11.44,1.94,5.48,18.52,2.09,7.36,2.18,126,Unhealthy for Sensitive Groups,5.0,80.7,0.335,1.41,10.76,428.6
Abia,Aba,2017-08-01,29.15,93.29,28.13,36.83,44.33,9.14,1.69,20.6,39.38,2.79,2.6,1.99,87,Moderate,5.0,82.7,0.354,3.76,10.94,432.5
Abia,Aba,2017-09-01,55.33,85.93,31.58,22.92,24.23,7.8,1.76,6.67,45.37,2.96,5.61,2.2,150,Unhealthy for Sensitive Groups,4.3,83.5,0.407,3.35,10.74,430.3
Abia,Aba,2017-10-01,46.69,152.15,12.96,31.33,49.22,21.17,3.09,12.26,38.42,3.36,5.37,1.5,129,Unhealthy for Sensitive Groups,5.3,76.6,0.406,2.29,11.27,433.8
Abia,Aba,2017-11-01,59.19,129.45,50.24,89.71,77.37,16.59,2.54,38.15,68.36,3.25,7.73,2.19,153,Unhealthy,8.5,43.8,0.377,2.34,11.33,428.5
Abia,Aba,2017-12-01,176.01,370.59,30.67,51.94,129.28,39.84,4.44,41.62,105.2,5.12,13.44,7.67,226,Very Unhealthy,10.8,29.8,0.444,1.4,10.68,432.8
Abia,Aba,2018-01-01,156.83,465.89,38.93,73.54,102.86,31.95,5.82,29.33,102.9,4.85,21.18,1.95,207,Very Unhealthy,11.8,40.4,0.42,0.4,11.46,441.5
Abia,Aba,2018-02-01,142.38,321.72,15.58,99.27,102.49,22.11,5.29,26.99,75.93,8.77,14.2,6.95,196,Unhealthy,8.1,24.6,0.476,3.15,11.15,440.3
Abia,Aba,2018-03-01,81.51,351.06,30.01,43.67,35.14,31.7,4.15,24.11,77.22,4.92,8.36,5.24,164,Unhealthy,5.2,57.2,0.4,1.27,11.66,440.7
Abia,Aba,2018-04-01,40.81,70.03,34.24,52.44,27.28,19.01,2.12,11.94,32.97,4.56,5.15,0.87,114,Unhealthy for Sensitive Groups,3.7,76.6,0.418,2.13,10.75,438.4
Abia,Aba,2018-05-01,66.13,53.43,14.65,49.61,27.1,13.96,2.03,9.55,42.33,3.36,6.38,2.06,156,Unhealthy,6.0,73.3,0.413,2.34,11.24,443.7
Abia,Aba,2018-06-01,33.9,81.86,12.28,41.37,24.58,7.33,1.09,11.46,39.86,0.73,6.93,2.25,97,Moderate,8.3,76.0,0.402,4.32,11.57,438.1
Abia,Aba,2018-07-01,44.25,108.78,14.36,13.72,28.52,11.04,1.97,8.86,30.85,2.87,4.08,1.56,123,Unhealthy for Sensitive Groups,6.4,96.2,0.313,4.54,11.49,444.4
Abia,Aba,2018-08-01,46.0,60.61,23.89,37.64,40.96,12.0,1.79,20.06,42.84,3.34,2.22,1.03,127,Unhealthy for Sensitive Groups,0.5,80.9,0.347,-0.56,11.06,440.1
Abia,Aba,2018-09-01,61.08,64.69,28.95,22.38,46.42,9.23,2.57,24.06,41.55,2.95,4.29,2.33,154,Unhealthy,1.2,90.0,0.326,3.41,11.56,441.0
Abia,Aba,2018-10-01,65.61,125.18,30.55,49.55,31.98,20.59,2.2,26.31,63.01,2.81,3.93,2.81,156,Unhealthy,3.4,68.6,0.519,4.17,10.99,444.8
Abia,Aba,2018-11-01,62.34,206.38,38.52,44.54,34.09,37.48,5.26,35.65,66.85,5.4,18.0,3.32,155,Unhealthy,8.5,39.3,0.422,1.3,11.44,435.4
Abia,Aba,2018-12-01,115.82,206.42,40.89,78.06,84.78,21.71,3.85,58.01,74.9,7.28,18.59,6.67,182,Unhealthy,13.4,37.2,0.422,4.03,10.66,442.9
Abia,Aba,2019-01-01,98.91,398.48,42.34,81.16,44.0,24.7,5.58,47.02,111.34,2.22,13.39,2.81,173,Unhealthy,6.3,43.1,0.359,2.36,11.42,451.2
Abia,Aba,2019-02-01,122.37,177.71,63.02,90.07,45.55,14.92,4.77,16.5,118.11,4.83,14.79,4.89,186,Unhealthy,9.1,40.7,0.441,3.23,11.86,450.6
Abia,Aba,2019-03-01,94.06,368.31,43.11,32.71,67.67,21.14,1.95,16.07,74.65,4.07,5.98,5.33,171,Unhealthy,10.9,54.4,0.368,1.84,11.75,452.3
Abia,Aba,2019-04-01,84.36,104.53,20.17,34.27,57.24,12.6,2.63,23.58,61.55,2.71,4.91,2.6,166,Unhealthy,6.2,71.5,0.384,3.57,11.24,452.2
Abia,Aba,2019-05-01,45.42,101.34,8.28,26.85,47.7,11.59,1.02,16.81,37.58,2.76,7.8,2.6,125,Unhealthy for Sensitive Groups,5.6,80.6,0.448,2.33,11.41,453.5
Abia,Aba,2019-06-01,64.15,112.91,23.28,25.39,47.54,8.18,1.31,18.92,25.55,1.14,1.74,2.26,155,Unhealthy,2.8,85.4,0.437,1.5,11.13,451.7
Abia,Aba,2019-07-01,45.19,36.51,25.21,13.07,43.18,6.1,0.88,12.62,41.05,0.42,3.61,1.79,125,Unhealthy for Sensitive Groups,7.3,91.8,0.394,1.34,11.31,448.7
Abia,Aba,2019-08-01,41.56,123.95,9.97,16.96,22.46,5.83,2.17,16.55,27.93,2.04,4.41,1.87,116,Unhealthy for Sensitive Groups,2.4,97.3,0.408,3.62,11.66,449.7
Abia,Aba,2019-09-01,53.2,119.92,24.43,24.08,12.53,16.59,2.05,19.4,33.14,2.87,3.52,1.57,145,Unhealthy for Sensitive Groups,4.9,76.8,0.444,2.78,11.24,454.0
Abia,Aba,2019-10-01,57.81,85.37,33.44,36.58,60.6,20.71,3.13,30.54,55.29,1.95,9.12,1.02,152,Unhealthy,9.8,64.8,0.487,3.21,11.34,453.8
Abia,Aba,2019-11-01,59.6,201.13,60.31,83.45,68.56,18.46,3.11,23.44,76.33,5.49,12.79,1.64,153,Unhealthy,8.5,50.8,0.324,1.91,11.29,449.7
Abia,Aba,2019-12-01,176.0,350.36,41.24,42.16,115.93,26.38,5.82,41.47,72.14,3.38,9.6,6.93,226,Very Unhealthy,13.5,45.0,0.376,2.34,11.27,454.7
Abia,Aba,2020-01-01,60.05,257.19,67.78,106.13,108.11,34.5,3.47,32.79,97.75,3.63,10.26,4.56,153,Unhealthy,8.5,45.3,0.423,0.54,12.15,458.2
Abia,Aba,2020-02-01,133.99,417.79,48.54,57.94,122.48,45.15,2.62,34.41,67.01,4.9,18.73,2.03,192,Unhealthy,4.6,39.9,0.367,3.12,11.57,464.4
Abia,Aba,2020-03-01,88.28,301.09,50.65,39.62,57.58,14.14,3.62,36.98,60.66,6.23,6.63,3.95,168,Unhealthy,9.8,40.3,0.391,0.68,11.61,462.6
Abia,Aba,2020-04-01,16.75,83.84,19.89,31.77,35.12,6.24,1.65,12.05,18.41,1.72,2.45,0.64,61,Moderate,2.8,69.3,0.35,3.01,11.85,461.9
Abia,Aba,2020-05-01,32.9,53.32,11.4,21.13,25.9,9.37,1.34,14.54,40.64,2.97,1.25,1.45,95,Moderate,10.2,74.3,0.4,3.0,12.19,465.3
Abia,Aba,2020-06-01,33.55,55.81,16.72,35.5,39.08,9.53,1.16,20.12,42.02,2.21,2.94,1.2,96,Moderate,3.8,80.5,0.37,3.67,11.73,459.0
Abia,Aba,2020-07-01,51.91,75.53,15.23,32.48,29.13,9.93,2.04,14.13,31.73,1.64,3.86,1.47,141,Unhealthy for Sensitive Groups,3.7,88.3,0.436,0.82,11.57,464.1
Abia,Aba,2020-08-01,20.06,119.07,13.1,28.98,49.36,11.72,1.54,13.4,35.29,1.92,6.06,1.35,68,Moderate,5.0,85.7,0.438,2.01,11.56,460.9
Abia,Aba,2020-09-01,45.87,50.96,9.69,26.45,28.87,13.84,2.31,24.05,27.44,3.73,2.96,1.41,127,Unhealthy for Sensitive Groups,7.0,82.5,0.444,2.58,11.95,460.6
Abia,Aba,2020-10-01,83.98,109.01,17.29,20.37,25.83,14.92,2.81,16.52,31.81,5.03,11.61,1.09,166,Unhealthy,10.4,82.4,0.386,-0.38,11.6,464.9
Abia,Aba,2020-11-01,80.59,161.71,27.15,58.25,97.49,16.12,3.08,18.39,104.24,6.11,8.06,1.63,164,Unhealthy,11.4,54.9,0.435,3.75,11.54,460.5
Abia,Aba,2020-12-01,104.59,360.35,57.87,54.05,86.56,49.05,4.06,50.09,103.55,5.39,6.9,3.18,176,Unhealthy,13.0,37.9,0.434,1.12,11.52,462.5
Abia,Aba,2021-01-01,122.24,362.3,49.13,73.62,136.69,42.54,6.22,27.49,132.64,2.66,23.71,7.73,185,Unhealthy,16.4,27.7,0.417,1.42,12.09,472.8
Abia,Aba,2021-02-01,93.41,419.31,32.65,92.48,80.4,24.19,3.42,49.3,101.86,7.17,19.64,7.6,171,Unhealthy,7.4,33.9,0.397,1.37,12.01,471.9
Abia,Aba,2021-03-01,118.99,159.95,32.33,62.57,61.38,30.6,2.66,31.63,66.11,7.03,4.76,2.13,184,Unhealthy,10.7,47.2,0.377,2.06,12.13,474.8
Abia,Aba,2021-04-01,54.47,168.58,21.53,52.64,43.87,23.36,2.61,19.64,33.84,3.91,11.26,1.6,148,Unhealthy for Sensitive Groups,7.6,66.0,0.432,1.58,12.14,473.5
Abia,Aba,2021-05-01,84.92,76.16,9.77,39.24,26.89,10.45,3.04,21.37,58.26,1.06,4.99,2.27,166,Unhealthy,6.6,69.8,0.438,2.27,12.08,472.0
Abia,Aba,2021-06-01,57.56,88.83,17.61,37.91,49.1,17.86,0.46,8.07,33.84,2.44,3.97,0.47,152,Unhealthy,3.1,85.7,0.358,4.56,12.05,472.2
Abia,Aba,2021-07-01,48.17,52.53,19.95,29.04,45.16,9.69,0.7,17.05,30.43,1.47,6.46,2.04,132,Unhealthy for Sensitive Groups,2.8,93.6,0.365,2.72,12.37,472.7
Abia,Aba,2021-08-01,50.98,85.96,22.34,34.48,23.0,8.72,1.94,11.56,26.2,2.93,2.39,0.57,139,Unhealthy for Sensitive Groups,5.5,83.5,0.467,2.36,11.97,472.7
Abia,Aba,2021-09-01,64.08,138.18,10.57,20.89,22.5,10.45,1.79,13.35,52.8,3.3,8.6,0.78,155,Unhealthy,4.4,79.8,0.436,2.79,12.05,474.8
Abia,Aba,2021-10-01,75.35,184.76,13.62,47.64,27.95,22.97,1.71,25.86,34.47,1.77,2.62,2.66,161,Unhealthy,6.2,69.4,0.381,1.5,11.88,472.6
Abia,Aba,2021-11-01,91.76,398.92,37.14,37.05,42.7,26.29,2.73,41.14,86.71,2.96,15.73,1.05,170,Unhealthy,9.9,40.3,0.318,1.2,12.14,475.1
Abia,Aba,2021-12-01,101.8,395.96,31.61,54.38,130.64,45.65,6.38,56.91,112.85,2.61,9.63,5.31,175,Unhealthy,10.8,36.6,0.371,2.75,12.5,471.7
Abia,Aba,2022-01-01,167.57,533.97,51.15,92.74,61.43,54.19,3.61,55.17,116.0,4.56,18.89,2.93,218,Very Unhealthy,5.2,27.5,0.433,0.32,12.62,483.0
Abia,Aba,2022-02-01,141.01,363.55,69.04,69.72,133.57,40.86,3.0,53.36,77.89,7.53,10.17,6.33,195,Unhealthy,8.6,49.1,0.413,2.09,12.42,481.0
Abia,Aba,2022-03-01,124.26,260.82,31.93,53.96,60.16,38.2,4.8,30.14,78.71,7.56,8.46,2.07,187,Unhealthy,8.3,41.6,0.466,2.95,12.46,482.7
Abia,Aba,2022-04-01,72.35,153.84,33.43,66.16,34.84,16.84,3.62,23.58,71.24,3.24,10.46,2.93,160,Unhealthy,4.6,72.8,0.45,3.0,12.1,483.0
Abia,Aba,2022-05-01,43.81,125.95,7.04,36.1,28.26,8.87,1.23,9.92,55.53,1.05,8.19,1.36,121,Unhealthy for Sensitive Groups,5.8,75.6,0.447,1.0,12.55,484.4
Abia,Aba,2022-06-01,58.53,137.13,23.38,25.41,53.09,8.95,2.64,21.43,35.76,1.88,8.23,2.48,153,Unhealthy,5.6,86.1,0.411,3.36,12.55,482.8
Abia,Aba,2022-07-01,46.42,74.59,22.68,38.37,30.75,13.86,1.47,16.5,35.59,3.08,5.9,2.76,128,Unhealthy for Sensitive Groups,6.8,81.0,0.418,3.26,12.67,483.7
Abia,Aba,2022-08-01,50.78,61.97,7.9,38.11,35.73,12.11,2.22,9.17,31.41,2.37,3.78,1.37,139,Unhealthy for Sensitive Groups,4.5,85.8,0.382,2.33,12.36,484.0
Abia,Aba,2022-09-01,40.56,73.03,16.88,48.2,21.36,6.65,0.85,16.4,25.34,1.13,2.39,3.25,113,Unhealthy for Sensitive Groups,3.4,84.5,0.422,3.18,12.34,481.2
Abia,Aba,2022-10-01,79.47,204.49,20.43,66.68,57.58,14.62,0.99,30.36,54.12,1.93,6.03,3.9,163,Unhealthy,8.3,77.4,0.357,2.1,12.32,483.2
Abia,Aba,2022-11-01,75.93,334.77,35.69,82.64,77.2,30.03,4.44,22.07,107.82,4.39,8.74,4.2,162,Unhealthy,6.7,49.7,0.387,1.65,12.55,484.1
Abia,Aba,2022-12-01,113.27,343.54,18.81,79.63,81.22,34.89,7.46,52.49,63.76,8.98,25.89,1.29,181,Unhealthy,11.7,48.2,0.343,1.96,12.58,484.7
Abia,Aba,2023-01-01,103.36,504.12,32.77,95.01,121.5,27.83,3.28,40.77,94.05,11.0,7.44,7.35,176,Unhealthy,5.4,38.0,0.444,2.02,12.68,494.4
Abia,Aba,2023-02-01,142.69,450.44,33.36,81.72,67.28,47.59,4.01,37.61,123.03,7.33,11.85,1.79,196,Unhealthy,11.3,39.9,0.366,2.26,13.0,494.1
Abia,Aba,2023-03-01,54.3,277.98,39.8,40.7,44.48,15.15,3.96,44.94,79.77,5.01,10.72,4.93,147,Unhealthy for Sensitive Groups,8.0,42.6,0.394,1.04,12.53,494.0
Abia,Aba,2023-04-01,39.06,160.41,23.63,56.73,43.79,14.11,1.0,21.71,67.49,1.96,11.06,3.46,110,Unhealthy for Sensitive Groups,7.2,80.1,0.488,5.03,12.64,495.2
Abia,Aba,2023-05-01,27.72,143.07,22.76,44.99,56.31,16.02,2.99,17.45,52.08,2.41,6.59,1.67,84,Moderate,6.4,75.3,0.41,2.65,12.93,491.1
Abia,Aba,2023-06-01,45.88,117.92,21.99,25.2,21.89,12.42,0.71,20.41,21.45,2.21,9.06,1.3,127,Unhealthy for Sensitive Groups,2.1,86.3,0.383,2.57,12.65,491.4
Abia,Aba,2023-07-01,38.6,128.27,15.97,40.72,25.97,11.17,0.98,16.61,55.48,3.12,1.4,1.27,109,Unhealthy for Sensitive Groups,3.1,87.0,0.439,2.04,12.59,494.5
Abia,Aba,2023-08-01,42.57,56.44,16.75,43.1,20.16,16.71,2.28,21.0,41.14,3.67,2.25,2.87,118,Unhealthy for Sensitive Groups,3.9,80.9,0.397,1.89,12.82,492.8
Abia,Aba,2023-09-01,33.81,82.23,26.23,25.79,43.01,18.33,1.73,15.59,42.85,1.47,3.79,0.52,97,Moderate,6.2,86.6,0.36,3.51,12.58,497.6
Abia,Aba,2023-10-01,62.1,95.58,19.64,55.07,25.18,11.9,3.57,28.88,58.91,4.42,8.8,1.88,154,Unhealthy,1.5,82.4,0.396,2.43,12.81,492.3
Abia,Aba,2023-11-01,109.75,329.61,33.54,36.21,102.76,23.56,3.98,15.8,109.04,2.86,13.4,2.29,179,Unhealthy,5.1,62.6,0.479,1.8,12.94,494.2
Abia,Aba,2023-12-01,128.2,500.73,58.86,53.44,148.05,49.36,3.46,46.9,75.62,4.76,23.09,6.84,189,Unhealthy,6.4,37.9,0.393,1.61,12.13,493.9
Abia,Aba,2024-01-01,99.72,435.08,68.39,86.99,153.31,20.27,3.58,42.49,151.9,8.05,13.18,6.37,174,Unhealthy,13.4,35.3,0.359,2.93,13.05,501.9
Abia,Aba,2024-02-01,75.74,292.36,56.2,42.2,114.44,49.42,3.12,61.08,49.36,7.77,19.23,2.65,161,Unhealthy,6.6,44.8,0.402,1.11,13.1,504.6
Abia,Aba,2024-03-01,106.57,283.94,42.89,38.48,106.59,40.65,4.19,48.74,91.21,6.31,8.64,3.32,177,Unhealthy,5.0,50.8,0.432,1.76,12.94,505.1
Abia,Aba,2024-04-01,69.92,150.47,21.38,23.57,22.25,16.09,3.64,28.49,57.48,4.2,6.51,4.2,158,Unhealthy,9.4,63.3,0.458,2.37,13.09,502.3
Abia,Aba,2024-05-01,42.38,143.08,24.0,48.41,56.32,17.01,3.39,26.6,51.61,3.2,3.49,1.99,118,Unhealthy for Sensitive Groups,7.5,87.3,0.273,1.35,13.23,500.7
Abia,Aba,2024-06-01,22.25,80.99,8.45,42.59,43.73,9.19,1.32,20.98,37.24,1.04,8.72,2.64,72,Moderate,2.7,83.3,0.431,2.76,13.22,503.7
Abia,Aba,2024-07-01,55.08,66.44,14.95,47.85,29.42,8.86,1.08,10.75,40.81,2.17,6.65,1.37,149,Unhealthy for Sensitive Groups,3.7,95.6,0.302,3.1,12.59,507.6
Abia,Aba,2024-08-01,49.62,95.24,27.62,15.89,46.6,13.95,0.98,15.56,44.75,2.65,4.9,2.62,136,Unhealthy for Sensitive Groups,8.0,86.0,0.307,3.53,13.1,504.3
Abia,Aba,2024-09-01,65.8,95.05,12.15,43.94,21.31,23.55,2.22,24.42,55.2,4.36,3.89,2.31,156,Unhealthy,7.1,84.1,0.405,0.71,12.83,502.4
Abia,Aba,2024-10-01,69.73,89.7,20.44,31.22,49.85,9.7,3.34,23.21,54.06,1.95,11.92,1.36,158,Unhealthy,9.2,78.1,0.394,1.79,12.75,499.8
Abia,Aba,2024-11-01,68.67,390.47,36.55,37.62,46.21,17.64,4.48,19.65,65.32,2.2,17.25,6.69,158,Unhealthy,9.9,60.7,0.393,3.12,12.83,502.4
Abia,Aba,2024-12-01,165.83,512.52,43.42,79.52,52.19,56.7,3.73,26.83,140.78,6.56,21.6,2.98,216,Very Unhealthy,11.7,43.8,0.366,3.45,13.27,504.9
Abia,Aba,2025-01-01,109.65,320.31,44.7,64.92,74.14,44.41,5.74,41.93,59.27,4.6,22.39,4.42,179,Unhealthy,5.4,41.6,0.438,0.47,13.25,512.7
Abia,Aba,2025-02-01,139.53,478.75,69.87,89.27,65.13,44.73,4.62,55.22,100.33,9.54,12.6,2.55,194,Unhealthy,6.0,35.1,0.377,2.94,13.21,514.3
Abia,Aba,2025-03-01,125.41,407.23,26.07,71.17,98.2,39.51,2.38,23.95,80.64,7.71,19.89,5.24,187,Unhealthy,7.4,43.8,0.404,3.61,13.28,512.8
Abia,Aba,2025-04-01,75.22,107.18,28.15,67.88,63.34,16.01,2.0,16.0,69.58,3.16,8.13,2.03,161,Unhealthy,4.8,68.7,0.375,2.75,13.48,515.2
Abia,Aba,2025-05-01,93.01,152.66,31.61,52.54,54.9,11.74,2.24,9.77,45.48,2.03,7.11,3.85,170,Unhealthy,8.1,79.5,0.358,2.29,13.49,514.1
